# generated by: gensig.py chirp -a 0.3 -o sig_chirp_500_8k.csv --f0 500 --f1 8000
# date: 2026-04-03T17:17:13
# signal: 500–8000 Hz log chirp
# samples: 4096
# fs: 48828.0
# amplitude: 0.3
time_s,speaker
3.891209961497501483e-03,1.383074031360878031e-01
3.911690013926435311e-03,1.574054497360618809e-01
3.932170066355369573e-03,1.756726183999660351e-01
3.952650118784303834e-03,1.930091494381639960e-01
3.973130171213238096e-03,2.093199509219521304e-01
3.993610223642172358e-03,2.245151334416209399e-01
4.014090276071106619e-03,2.385105200122239477e-01
4.034570328500040881e-03,2.512281281780198161e-01
4.055050380928975143e-03,2.625966214916211627e-01
4.075530433357909404e-03,2.725517276857368221e-01
4.096010485786843666e-03,2.810366210133055653e-01
4.116490538215777928e-03,2.880022664052130921e-01
4.136970590644712190e-03,2.934077232826885484e-01
4.157450643073646451e-03,2.972204070633729933e-01
4.177930695502580713e-03,2.994163066145150154e-01
4.198410747931514975e-03,2.999801561332418598e-01
4.218890800360449236e-03,2.989055601708545118e-01
4.239370852789383498e-03,2.961950707646800462e-01
4.259850905218317760e-03,2.918602158957869230e-01
4.280330957647251154e-03,2.859214787525838353e-01
4.300811010076185416e-03,2.784082275475650570e-01
4.321291062505119678e-03,2.693585959058313883e-01
4.341771114934053939e-03,2.588193141180480938e-01
4.362251167362988201e-03,2.468454918256860198e-01
4.382731219791922463e-03,2.335003529812432754e-01
4.403211272220856724e-03,2.188549241990325467e-01
4.423691324649790986e-03,2.029876778816322169e-01
4.444171377078725248e-03,1.859841317715905384e-01
4.464651429507659509e-03,1.679364068358461248e-01
4.485131481936593771e-03,1.489427456403074890e-01
4.505611534365528033e-03,1.291069936122217210e-01
4.526091586794462295e-03,1.085380458173623441e-01
4.546571639223396556e-03,8.734926209577101308e-02
4.567051691652330818e-03,6.565785360294457140e-02
4.587531744081265080e-03,4.358424399109696312e-02
4.608011796510199341e-03,2.125140863676128547e-02
4.628491848939133603e-03,-1.215804525044273483e-03
4.648971901368067865e-03,-2.369136886452627780e-02
4.669451953797002126e-03,-4.604878380718522429e-02
4.689932006225935521e-03,-6.816178656359089816e-02
4.710412058654869782e-03,-8.990506685796549602e-02
4.730892111083804044e-03,-1.111549806225614750e-01
4.751372163512738306e-03,-1.317902585952072381e-01
4.771852215941672568e-03,-1.516927057504966203e-01
4.792332268370606829e-03,-1.707478875115618910e-01
4.812812320799541091e-03,-1.888457987291622120e-01
4.833292373228475353e-03,-2.058815114780576383e-01
4.853772425657409614e-03,-2.217557978070642255e-01
4.874252478086343876e-03,-2.363757236890211832e-01
4.894732530515278138e-03,-2.496552105489802942e-01
4.915212582944212399e-03,-2.615155609038204987e-01
4.935692635373146661e-03,-2.718859448223828190e-01
4.956172687802080923e-03,-2.807038441124247719e-01
4.976652740231015185e-03,-2.879154513574749275e-01
4.997132792659949446e-03,-2.934760211624901083e-01
5.017612845088883708e-03,-2.973501712207518022e-01
5.038092897517817970e-03,-2.995121310843628093e-01
5.058572949946752231e-03,-2.999459368058191022e-01
5.079053002375686493e-03,-2.986455699166813416e-01
5.099533054804619887e-03,-2.956150395200453640e-01
5.120013107233554149e-03,-2.908684065944059371e-01
5.140493159662488411e-03,-2.844297499359934589e-01
5.160973212091422672e-03,-2.763330735028393104e-01
5.181453264520356934e-03,-2.666221552648254112e-01
5.201933316949291196e-03,-2.553503380078347984e-01
5.222413369378225458e-03,-2.425802628848058862e-01
5.242893421807159719e-03,-2.283835468501178301e-01
5.263373474236093981e-03,-2.128404054539677903e-01
5.283853526665028243e-03,-1.960392228086680066e-01
5.304333579093962504e-03,-1.780760708663814695e-01
5.324813631522896766e-03,-1.590541804664513947e-01
5.345293683951831028e-03,-1.390833669174658671e-01
5.365773736380765289e-03,-1.182794131731329523e-01
5.386253788809699551e-03,-9.676341393956064407e-02
5.406733841238633813e-03,-7.466108431324082473e-02
5.427213893667568075e-03,-5.210203679177645431e-02
5.447693946096502336e-03,-2.921903072171773419e-02
5.468173998525436598e-03,-6.147198448179679552e-03
5.488654050954370860e-03,1.697674739222282750e-02
5.509134103383304254e-03,4.001532084173824860e-02
5.529614155812238516e-03,6.283107913555904811e-02
5.550094208241172777e-03,8.528744394144413543e-02
5.570574260670107039e-03,1.072495224355995702e-01
5.591054313099041301e-03,1.285849232834604394e-01
5.611534365527975562e-03,1.491645625812403064e-01
5.632014417956909824e-03,1.688634548309469186e-01
5.652494470385844086e-03,1.875614840686254392e-01
5.672974522814778348e-03,2.051441503423653001e-01
5.693454575243712609e-03,2.215032868436464242e-01
5.713934627672646871e-03,2.365377431320412893e-01
5.734414680101581133e-03,2.501540300589479848e-01
5.754894732530515394e-03,2.622669221900483238e-01
5.775374784959449656e-03,2.728000137480380283e-01
5.795854837388383918e-03,2.816862243452057935e-01
5.816334889817318179e-03,2.888682510492096567e-01
5.836814942246252441e-03,2.942989636228201533e-01
5.857294994675186703e-03,2.979417400984271658e-01
5.877775047104120965e-03,2.997707401886705036e-01
5.898255099533055226e-03,2.997711143940886003e-01
5.918735151961988621e-03,2.979391470449428980e-01
5.939215204390922882e-03,2.942823319053807229e-01
5.959695256819857144e-03,2.888193793715674307e-01
5.980175309248791406e-03,2.815801547089279433e-01
6.000655361677725667e-03,2.726055471948863329e-01
6.021135414106659929e-03,2.619472704596982338e-01
6.041615466535594191e-03,2.496675947469483847e-01
6.062095518964528452e-03,2.358390122438090153e-01
6.082575571393462714e-03,2.205438370572658791e-01
6.103055623822396976e-03,2.038737418327833395e-01
6.123535676251331238e-03,1.859292334242283184e-01
6.144015728680265499e-03,1.668190704252495993e-01
6.164495781109199761e-03,1.466596257601740783e-01
